hxl, 0.0
sql, 0.004524886877828055
pts,tfi, 0.00904977375565611
tbo, 0.013574660633484163
dmd, 0.01809954751131222
wbl,lqm, 0.022624434389140274
nbo, 0.027149321266968326
tfe, 0.031674208144796386
hcb, 0.03619909502262444
fes, 0.04072398190045249
rtl, 0.04524886877828055
the, 0.0497737556561086
ttp, 0.05429864253393665
pcu, 0.05882352941176471
rob, 0.06334841628959277
dia, 0.06787330316742082
apo, 0.07239819004524888
nbo,tfb, 0.07692307692307693
rac, 0.08144796380090498
she, 0.08597285067873305
hex, 0.0904977375565611
kgd,hcb, 0.09502262443438915
scu,tty, 0.0995475113122172
lon,dea, 0.10407239819004525
bct, 0.1085972850678733
fcu, 0.11312217194570137
shp, 0.11764705882352942
kgm, 0.12217194570135748
flu,flt, 0.12669683257918554
mog, 0.13122171945701358
bcg, 0.13574660633484165
rna, 0.14027149321266968
lvt, 0.14479638009049775
sod, 0.14932126696832582
sql,gra, 0.15384615384615385
sjt, 0.15837104072398192
tav, 0.16289592760180996
edq, 0.16742081447963802
cds,gwg, 0.1719457013574661
mtn-e, 0.17647058823529413
mab, 0.1809954751131222
met, 0.18552036199095023
kgd, 0.1900452488687783
lim, 0.19457013574660637
fsc, 0.1990950226244344
bpq, 0.20361990950226247
scu,mmm, 0.2081447963800905
sra, 0.21266968325791857
sql,bex, 0.2171945701357466
rtl,tty, 0.22171945701357468
nbo,fof, 0.22624434389140274
ntt, 0.23076923076923078
sty, 0.23529411764705885
rnb, 0.2398190045248869
pcu-h, 0.24434389140271495
cds, 0.24886877828054302
cdq, 0.2533936651583711
sql,hcb, 0.2579185520361991
ths, 0.26244343891402716
pyr, 0.26696832579185525
nia,mod, 0.2714932126696833
gie, 0.27601809954751133
bex,fsh, 0.28054298642533937
iac-d, 0.28506787330316746
acs, 0.2895927601809955
pts,dmd, 0.29411764705882354
tsx, 0.29864253393665163
scu,lwg, 0.30316742081447967
rtl,sql, 0.3076923076923077
mco, 0.31221719457013575
myd,myc, 0.31674208144796384
sqc, 0.3212669683257919
flu, 0.3257918552036199
ith, 0.330316742081448
fon, 0.33484162895927605
fff, 0.3393665158371041
qtz, 0.3438914027149322
bcu, 0.3484162895927602
srs, 0.35294117647058826
ctn, 0.3574660633484163
scu, 0.3619909502262444
csq,xly, 0.36651583710407243
jvh, 0.37104072398190047
pts,lim, 0.37556561085972856
buh, 0.3800904977375566
fmz, 0.38461538461538464
htb, 0.38914027149321273
pts,tfk, 0.39366515837104077
gar, 0.3981900452488688
cag, 0.40271493212669685
lcv, 0.40723981900452494
urr, 0.411764705882353
ith-d, 0.416289592760181
jmt, 0.4208144796380091
csq, 0.42533936651583715
soc,edq, 0.4298642533936652
lon, 0.4343891402714932
hcb,jea, 0.4389140271493213
jea, 0.44343891402714936
bex, 0.4479638009049774
flu,jaj, 0.4524886877828055
hxg, 0.4570135746606335
stp, 0.46153846153846156
muo, 0.46606334841628966
ott, 0.4705882352941177
the,fcu, 0.47511312217194573
tfz-d, 0.4796380090497738
xat, 0.48416289592760187
ssb, 0.4886877828054299
sql,cpx, 0.49321266968325794
acs,tsg, 0.49773755656108604
pts, 0.502262443438914
pts,sur, 0.5067873303167422
flu,sql, 0.5113122171945702
sur, 0.5158371040723982
neb, 0.5203619909502263
tfi, 0.5248868778280543
fsc,cut, 0.5294117647058824
sit,sql, 0.5339366515837105
utp, 0.5384615384615385
irl, 0.5429864253393666
dmb, 0.5475113122171946
pti, 0.5520361990950227
sxb, 0.5565610859728507
eea, 0.5610859728506787
pto, 0.5656108597285069
dia,tfa, 0.5701357466063349
gfy, 0.574660633484163
ecu, 0.579185520361991
hyw,hyx, 0.583710407239819
fsh, 0.5882352941176471
hms, 0.5927601809954751
esg, 0.5972850678733033
scu,bor, 0.6018099547511313
cqx, 0.6063348416289593
agw, 0.6108597285067874
ftw, 0.6153846153846154
idp, 0.6199095022624435
lig, 0.6244343891402715
bcs, 0.6289592760180996
qzd, 0.6334841628959277
hmc,tfe, 0.6380090497737557
pcu,sql, 0.6425339366515838
gwg, 0.6470588235294118
lil, 0.6515837104072398
seb, 0.656108597285068
dia,ths, 0.660633484162896
ilc, 0.6651583710407241
hcb,tfa, 0.6696832579185521
htp, 0.6742081447963801
crb, 0.6787330316742082
sab, 0.6832579185520362
qnb, 0.6877828054298644
toc, 0.6923076923076924
tfj, 0.6968325791855204
scu,mml, 0.7013574660633485
sql,rtl, 0.7058823529411765
hfp, 0.7104072398190046
rtl,kgd, 0.7149321266968326
eta, 0.7194570135746607
sod,kgm, 0.7239819004524888
bcu,eft, 0.7285067873303168
sql,rna, 0.7330316742081449
tsg,rna, 0.7375565610859729
ggl, 0.7420814479638009
sql,ggl, 0.746606334841629
pto,ggl, 0.7511312217194571
reo-e, 0.7556561085972852
dia-f, 0.7601809954751132
cem-d,vcs, 0.7647058823529412
pts,dia, 0.7692307692307693
tsa, 0.7737556561085973
dmd,nof, 0.7782805429864255
snz, 0.7828054298642535
sow, 0.7873303167420815
nia-d, 0.7918552036199096
bor,boe, 0.7963800904977376
ssa,sty, 0.8009049773755657
bey, 0.8054298642533937
fzh, 0.8099547511312218
dmp, 0.8144796380090499
shp,agw, 0.8190045248868779
dag, 0.823529411764706
sql,sod, 0.828054298642534
gra, 0.832579185520362
srs,pcu, 0.8371040723981901
acs,sql, 0.8416289592760182
acs,hcb, 0.8461538461538463
dia,hxl, 0.8506787330316743
lcy, 0.8552036199095023
mcm, 0.8597285067873304
ant, 0.8642533936651584
cpf, 0.8687782805429864
pcu,cpf, 0.8733031674208146
cpc, 0.8778280542986426
uni, 0.8823529411764707
sit, 0.8868778280542987
reo,lim, 0.8914027149321267
hww, 0.8959276018099548
lvt,tty, 0.9004524886877829
seh, 0.904977375565611
pcu,ggl, 0.909502262443439
bnn, 0.914027149321267
pcu,tfl, 0.9185520361990951
neb,tfl, 0.9230769230769231
pth, 0.9276018099547512
vcs, 0.9321266968325793
flu,tfj, 0.9366515837104074
pcu,ths, 0.9411764705882354
sqp, 0.9457013574660634
tfu, 0.9502262443438915
tfz-d,pcu, 0.9547511312217195
kgd,rtl, 0.9592760180995475
flu,hcb, 0.9638009049773757
spn, 0.9683257918552037
hcb,bex, 0.9728506787330318
sql,iab, 0.9773755656108598
fet, 0.9819004524886878
ins, 0.9864253393665159
nbo,fog, 0.990950226244344
sni, 0.9954751131221721
jea,hcb, 1.0
